sym,avg,std,pct95,pct99,avg+std,avg+2std,last100d,last_20d
XAUUSD,5.54,3.95,1.31,1.32,9.49,13.44,5.02,4.44
EURCHF,9.01,5.61,2.1,2.1,14.62,20.23,8.41,8.16
CADCHF,9.39,5.42,2.4,2.4,14.82,20.24,9.4,9.55
NZDCHF,10.8,5.56,3.4,3.5,16.36,21.92,10.76,10.52
USDCHF,10.84,6.85,2.5,2.5,17.69,24.54,10.53,10.62
USDJPY,10.92,6.87,2.9,2.9,17.8,24.67,10.57,10.59
EURGBP,11.49,7.68,2.6,2.6,19.17,26.85,9.39,8.43
AUDCHF,11.56,6.12,3.69,3.7,17.68,23.8,10.99,10.24
CADJPY,11.92,6.85,3.6,3.7,18.77,25.61,11.71,12.03
NZDUSD,12.95,7.04,3.9,3.94,19.99,27.03,13.21,13.22
AUDCAD,13.12,6.73,4.4,4.4,19.85,26.58,12.02,11.46
NZDJPY,13.3,7.18,4.4,4.4,20.48,27.66,13.02,13.0
CHFJPY,14.0,7.67,4.1,4.2,21.68,29.35,13.2,13.19
AUDUSD,14.1,8.01,3.9,4.0,22.11,30.11,13.56,12.81
EURUSD,14.25,9.19,3.4,3.4,23.44,32.64,12.57,12.54
AUDJPY,14.42,8.33,4.5,4.5,22.76,31.09,13.41,12.69
EURJPY,15.13,9.07,4.4,4.4,24.2,33.27,13.14,12.76
USDCAD,16.32,9.69,4.19,4.2,26.01,35.7,15.56,14.64
GBPCHF,18.23,11.19,4.3,4.3,29.41,40.6,16.47,15.16
GBPUSD,21.42,13.56,5.2,5.2,34.98,48.54,18.74,17.37
GBPJPY,22.55,13.48,6.29,6.3,36.03,49.51,19.65,18.19
EURAUD,23.22,12.22,7.3,7.3,35.44,47.66,20.55,19.22
GBPCAD,24.63,15.15,6.1,6.14,39.78,54.94,21.32,20.44
EURNZD,25.27,12.54,8.6,8.8,37.81,50.35,23.66,23.85
GBPAUD,28.29,15.25,8.5,8.7,43.54,58.79,24.44,23.28
BTCUSD,390.94,470.86,18.44,18.6,861.8,1332.67,782.73,918.37
