seller_text,store_sales_clean,store_rating,store_reviews_clean,listing_reviews_clean,listing_price_clean,listing_bestseller,listing_title,listing_highlights,url,cart_clean,listing_desc
ImperfectInspo,7510,4.9449,617,100,5.0,Bestseller,Printable/Digital ADHD Daily Planner | DIGITAL FILES Only,"['Digital download', 'Digital file type(s): 5 PDF']","['Printable/Digital ADHD Daily Planner | DIGITAL FILES Only', 'https://www.etsy.com/listing/939869534/printabledigital-adhd-daily-planner', 'Over 20 people have this in their cart']",20,"
                    THE PLANNER PAD CAN BE PURCHASED HERE — https://www.imperfectinspiration.com/storeTHE CUSTOMIZABLE VERSION OF THIS PLANNER CAN BE PURCHASED HERE -- https://www.etsy.com/listing/960804889/☆ WHAT IS IT?A planner to slay all other planners. When your primarily a visual human, sometimes the unstructured nature of standard planners can leave you feeling aimless and unfocused. This planner is specifically designed to guide you along a natural progression of productivity and work well for humans who think outside the box.☆ WHAT’S INCLUDED?]• 1 x PDF with Non-Fillable Fields (Letter Size)• 1 x PDF with Non-Fillable Fields (A4 Size)• 1 x PDF with Non-Fillable Fields (A6 Size)• 1 x PDF with Non-Fillable Fields (Half-Letter Size)• 1 x Instructions FileNote: This is an instant download - there is no physical product. The files become available to download once the purchase is processed by Etsy.☆ HOW TO ORDER1. Add this listing to your cart.2. After you complete the payment you will see the link for downloading the file. It will be available in your account's purchase area.3. Download the zipped files.4. Unzip files to your desktop.5. Open using the PDF viewer of your choice.6. Fill out using the PDF viewer clicking on blue edit boxes or print it out - it can also be used in digital planner apps such as Goodnotes☆ HOW DO I FILL IT OUT?These PDF files contain text fields that are fillable using Adobe Reader (Free), Adobe Acrobat, or other PDF reader software.You may also annotate digitally using an iPad or Tablet.Alternatively, you may print them out and write on them physically.Note: Text and colors that are part of the design cannot be edited.☆ RETURNS & EXCHANGESDue to the digital nature of this item, it is unable to be returned, exchanged, or refunded. Please do not hesitate to reach out via Etsy message. I am always open to questions, comments, and suggestions.☆ IMPORTANT INFORMATIONAll the files included in this download are original and copyright to Imperfect Inspiration Designs. They are for personal use only and cannot be resold, remade, copied, or distributed under any circumstances. All designs created by Britney Brown.
                "
YouGrewPrintables,30896,4.8288,1677,81,7.19,-,"Class Reunion Photo Booth Props, school reunion party photo booth printable props, speech bubble photobooth props for school reunion","['Digital download', 'Digital file type(s): 2 PDF']","['Class Reunion Photo Booth Props, school reunion party photo booth printable props, speech bubble photobooth props for school reunion', 'https://www.etsy.com/listing/270010740/class-reunion-photo-booth-props-school', '11 people have this in their cart']",11,"
                    School Reunion Photo Booth Props - speech bubbles props, diy photo booth printables - 30 x Speech Bubbles, 5 x items!Just purchase the digital file to print and cut out at home.---------------------------------------------------------------------------------------------------- - - LISTING INCLUDES - - - 1. 30 x Printable Speech Bubbles2. 5 x items3. Photobooth sign2 PDF documents for easy printing.This listing is for a digital file(s) of design shown only.All Digital Files will be sent as PDF(s)----------------------------------------------------------------------------------------------For the purple/green version click here https://www.etsy.com/uk/listing/570301943/class-reunion-photo-props-reunion-photoFor Matching DIY Printable Bunting: https://www.etsy.com/uk/listing/289666805/diy-party-bunting-printable-happyEach speech bubble fits one Letter page (roughly 7""x10"" depending on shape). You can use scale in printer settings to make these fit a smaller size.For more photo booth props click here: https://www.etsy.com/uk/shop/YouGrewPrintables?section_id=17030213&ref=shopsection_leftnav_2PLEASE NOTE:To mount on card yourself, any craft store will stock thick card. No Software or Fonts required. Print may not be exact colour match depending on printer and screen.- - - IMPORTANT SHOP POLICY - - - © All instant downloads and their designs are copyrighted by YouGrew. YouGrew Printables allows for personal use and limited professional use, but please do not resell, reproduce in part or full.If you have any questions please do not hesitate to message us. Printables can not be refunded due to the nature of digital downloadsNo physical product is offered – this is the DIY Template for you to print yourself.
                "
ImperfectInspo,7510,4.9449,617,78,5.0,Bestseller,Printable/Digital Weekly ADHD Planner | Digital Files ONLY,"['Digital download', 'Digital file type(s): 4 PDF, 1 PNG']","['Printable/Digital Weekly ADHD Planner | Digital Files ONLY', 'https://www.etsy.com/listing/966454655/printabledigital-weekly-adhd-planner', 'Over 20 people have this in their cart']",20,"
                    MATCHING DAILY PLANNER ALSO AVAILABLE IN MY SHOP! ☆ WHAT IS IT?A planner to slay all other planners. When your primarily a visual human, sometimes the unstructured nature of standard planners can leave you feeling aimless and unfocused. This planner is specifically designed to guide you along a natural progression of productivity and work well for humans who think outside the box.☆ WHAT’S INCLUDED?]• 1 x PDF (Letter Size)• 1 x PDF (A4 Size)• 1 x PDF (A6 Size)• 1 x PDF with 2 Planners Per Page (Half-Letter Size)• 1 x Instructions FileNote: This is an instant download - there is no physical product. The files become available to download once the purchase is processed by Etsy.☆ HOW TO ORDER1. Add this listing to your cart.2. After you complete the payment you will see the link for downloading the file. It will be available in your account's purchase area.3. Download the zipped files.4. Unzip files to your desktop.5. Open using the PDF viewer of your choice.6. Fill out using the PDF viewer clicking on blue edit boxes or print it out - it can also be used in digital planner apps such as Goodnotes☆ HOW DO I FILL IT OUT?These PDF files contain text fields that are fillable using Adobe Reader (Free), Adobe Acrobat, or other PDF reader software.You may also annotate digitally using an iPad or Tablet.Alternatively, you may print them out and write on them physically.Note: Text and colors that are part of the design cannot be edited.☆ RETURNS & EXCHANGESDue to the digital nature of this item, it is unable to be returned, exchanged, or refunded. Please do not hesitate to reach out via Etsy message. I am always open to questions, comments, and suggestions.☆ IMPORTANT INFORMATIONAll the files included in this download are original and copyright to Imperfect Inspiration Designs. They are for personal use only and cannot be resold, remade, copied, or distributed under any circumstances. All designs created by Britney Brown.
                "
SimpleBizBranding,3712,4.9067,230,63,19.95,Bestseller,"70+ Editable Instagram Posts for Realtors, Real Estate Agent Marketing Templates Canva, Social Media Quote Just Sold Graphics","['Digital download', 'Digital file type(s): 1 PDF']","['70+ Editable Instagram Posts for Realtors, Real Estate Agent Marketing Templates Canva, Social Media Quote Just Sold Graphics', 'https://www.etsy.com/listing/829213818/70-editable-instagram-posts-for-realtors', 'Over 20 people have this in their cart']",20,"
                    🌟70+ Instagram Post Canva Template Bundle for Realtors - Create engaging Instagram marketing graphics for your real estate business in minutes using the free online design platform, Canva!🌟BUNDLE UPDATE: The Instagram Real Estate Template Bundle for Canva now includes over 70+ customizable Canva templates designed for real estate agents. These simple-to-customize templates are designed to help you easily create stunning Instagram post graphics to increase engagement and organic reach, as well as bring in new leads (without the hassle of designing your marketing graphics from scratch!).And you'll save SO much time & money by doing it yourself - simply add your branding elements & information to the templates and export your brand new Instagram graphics!WHAT’S INCLUDED:✩ 70+ ready-to-use Instagram Post templates✩ Just Listed & Just Sold templates to increase bookings & client leads✩ Trendy Instagram layouts for engagement boost✩ Multiple text & quote layouts to educate home buyers & sellers✩ Format: Canva (FREE online design tool)✩ PDF help guide & tips for designing in Canva✩ Simple to customize - save time & money by doing it yourself!PLEASE NOTE:✩ Stock photos are NOT included with purchase. Please reach out if you need access to the download links/ image sources!HOW TO ORDER:✩ Add this listing to your cart by selecting “Add to Cart”✩ Submit payment information & click “Order”✩ After your order is complete, you will see a link for the download files (which can be found at https://www.etsy.com/your/purchases)✩ Download the PDF instruction guide✩ This contains the direct download LINK to your Canva templates, along with tons of tips & tricks for making edits in the free online Canva platform. You will be able to easily switch out the fonts, colors, images & other graphic elements to match your branding. Quickly and easily use this drag and drop builder to create stunning templates at a low cost!If you have any questions, concerns or hesitations, please feel free to reach out! I’d love to hear from you.XO,Fallon♡Terms of Use & Refund Policy: These files may not be shared, resold, redistributed, or reproduced for any purpose. Due to the digital nature of this product, I cannot offer refunds or exchanges on your purchase.
                "
HelloMarketingStudio,4643,4.972,393,56,18.0,Bestseller,Vol 1 | 50 Real Estate Instagram Posts | Social Media for Real Estate Agents | Agent Marketing |  Promotional | Facebook | Canva Template,"['Digital download', 'Digital file type(s): 1 PDF']","['Vol 1 | 50 Real Estate Instagram Posts | Social Media for Real Estate Agents | Agent Marketing |  Promotional | Facebook | Canva Template', 'https://www.etsy.com/listing/906377789/vol-1-50-real-estate-instagram-posts', 'Over 20 people have this in their cart']",20,"
                    Are you ready to take your marketing to the next level? We have made it our mission to save you the time and stress of creating your own marketing material. We stay up to date on the latest marketing trends and provide you with custom and unique real estate marketing content to stand out online and offline.This is an instant downloadable Canva Template for modern real estate agents that want to stand out in their market. This template is 100% customizable in the FREE version of Canva. This means that you will be able to easily add in your own information, photos, and can change the fonts, colors, etc. to fit your own personal brand.WHAT YOUR PURCHASE INCLUDES:1 PDF with Canva Link50 Social Media Posts - Canva Template☆ PLEASE NOTE ☆The headshot photos, open house, just sold, just listed, and closing day couple photos are NOT included in the template. These are for mock-up purposes only. You will be able to drag in your own headshot and other photos into the template.DIRECTIONS TO ACCESS YOUR PURCHASE:→ After your order is complete, you will see a link to download your files. This link can also be found at www.etsy.com/your/purchases→ Download your PDF instruction guide→ Sign up for a FREE Canva account or log in to your account→ Click the underlined LINK in the PDF document and it will take you directly to your Canva template→ Once in Canva, you will be able to edit the colors, fonts, images, and more to your own branding preferencesIf you have any trouble accessing or customizing your template, please reach out to our support team. Our team is more than happy to help you!☆ Like this real estate marketing product? This template pairs great with the items linked below! ☆Our Home Buyer Guidehttps://www.etsy.com/listing/1027128859/vol-11-18-page-real-estate-home-buyer?ref=shop_home_active_7Our Facebook Covershttps://www.etsy.com/listing/1014769719/vol-5-real-estate-facebook-cover-banner?ref=shop_home_active_5&crt=1TERMS OF USE:→ Our shop and our products, including this template, are NOT affiliated with Canva in any official way.→ Your purchase grants you ONE single license for personal use only. You may not share your templates with other agents, share your templates in agent social media groups, or sell and redistribute the files and templates. If you love your template enough to share, please be sure to point your agent friends back to our shop!→ Our Templates/Designs are meant for individual real estate agents. If you are a social media manager please note that your purchase does NOT grant you a commercial license. Please feel free to reach out about licensing options.→ If you are on a team and need multiple licenses for team members, please send our support team a message about custom pricing.→ All trademark terms referred to within Hello Marketing Studio, including the trademarked term REALTOR® are the property of their respective trademark holders and are not endorsed, connected, or sponsored in any way to Hello Marketing Studio.If you like this real estate marketing product, make sure to check out all of our other real estate marketing materials in our shop. We offer many modern and branded real estate products: listing presentations, market updates, email signatures, home buyer guides, social media posts, digital business cards, door hangers, flyers, postcards, Facebook covers, for sale by owner (FSBO) guides, buyer resources, seller resources, social media stories, logos, business cards, under contract timelines, open house flyers, moving checklists, change of address checklists, and social media marketing.
                "
ImperfectInspo,7510,4.9449,617,52,22.0,Bestseller,"DAILY PLANNER NOTEPAD | Adhd Planner - 8.5x11"" - 50 Pages Notepad","['Handmade', 'Materials: Digital Illustration, Photoshop, Procreate\n\n\nRead the full description']","['DAILY PLANNER NOTEPAD | Adhd Planner - 8.5x11"" - 50 Pages Notepad', 'https://www.etsy.com/listing/964427739/daily-planner-notepad-adhd-planner-85x11', 'Over 20 people have this in their cart']",20,"
                    ☆ WHAT IS IT?A planner to slay all other planners. When your primarily a visual human, sometimes the unstructured nature of standard planners can leave you feeling aimless and unfocused. This planner is specifically designed to guide you along a natural progression of productivity and work well for humans who think outside the box. Or in it. As long as it’s cute there.☆ DETAILS8.5x11"" Planner Pad50 sheetsCardboard backingSturdy 80lbs paper☆ SHIPPINGCURRENTLY IN STOCK AND SHIPPING WITHIN 7-10 BUSINESS DAYS☆ RETURNS & EXCHANGESDue to the digital nature of this item, it is unable to be returned, exchanged, or refunded. Please do not hesitate to reach out via Etsy message. I am always open to questions, comments, and suggestions.☆ IMPORTANT INFORMATIONAll the files included in this download are original and copyright to Imperfect Inspiration Designs. They are for personal use only and cannot be resold, remade, copied, or distributed under any circumstances. All designs created by Britney Brown.
                "
GiftedGold,3800,4.9071,270,51,5.95,Bestseller,Herb Prints · Set of 9 · Herb Printables · Kitchen Printables · Watercolor Herb Set Wall Signs · Oregano Sage Rosemary Basil · Digital Files,"['Digital download', 'Digital file type(s): 5 ZIP']","['Herb Prints · Set of 9 · Herb Printables · Kitchen Printables · Watercolor Herb Set Wall Signs · Oregano Sage Rosemary Basil · Digital Files', 'https://www.etsy.com/listing/764058847/herb-prints-set-of-9-herb-printables', 'Over 20 people have this in their cart']",20,"
                    Save and order the whole set of 20 herbs here: https://www.etsy.com/listing/757806540/herb-print-set-of-20-herb-printables★ What you will receive ★________________________________• Set of 9 Herb Prints (Sage, Basil, Rosemary, Thyme, Cilantro, Oregano, Parsley, Dill, Arugula) -- Sizes Below• High-resolution image files (300 DPI [dots per inch])• Files are in JPEG format• These can be printed in landscape format for horizontal frames (message for more info)• Feel free to mix and match as you like!★ Instructions and Sizes ★1)  Buy and download the files2) Choose a size ratio3) Print and hang if desired ➡ 4:5 ratio:Inches: 4x5, 8x10, 12x15, 16x20 ...Centimeters: 10x12, 20x25, 30x38, 40x50 ...➡ 3:4 ratio:Inches: 6x8, 9x12, 12x16, 15x20, 18x24 ...Centimeters: 15x20, 22x30, 30x40, 38x50, 45x60 ...➡ 2:3 ratio:Inches: 4x6, 6x9, 8x12, 10x15, 12x18, 16x24, 20x30 ...Centimeters: 10x15, 20x30, 30x45, 40x60, 50x76 ...➡ 1:1 Ratio:Inches: 5x5, 6x6, 7x7, 8x8, 9x9, 10x10, etc ...Centimeters: (same ratio - square format)➡ Bonus: Your file also includes 11x14 sizes. If you still need another size, send me a message.★ Suggestion: you may print on cardstock or photo paper for best results.________________________________Important notes:★ These are DIGITAL DOWNLOAD items that you can view and print at home or places like Staples, Office Depot, Fedex, UPS Store, Costco, Walgreens, Walmart, etc (If your country does not have these stores, Shutterfly is a good online company that ships prints to over 100 countries).You can take your file into the store -- or many of them have an easy online process where you upload your file, choose your size, and schedule it for pickup or delivery.**(If you still would like this shop to print your order for you, add the items you'd like to print to your cart, then follow this link (US customers) to add ""Printing Services"" to your cart: www.etsy.com/listing/1014302549/printing-service-for-artist★★After payment, the digital files will be available for download in your account and a message will be sent to your account email.★ Usage ★These files are for personal use only. Thank you.★ Refunds & Exchanges ★Due to the digital nature of instant downloads, refunds cannot be accepted. Please contact me if any issues arise so that they can be resolved.________________________________★ Enjoy your purchase! ★~ GiftedGold
                "
ImperfectInspo,7510,4.9449,617,49,5.0,Bestseller,"Printable/Digital Daily Student Planner | Perfect for Adhd, Visual Learning Students - DIGITAL FILES ONLY","['Digital download', 'Digital file type(s): 4 PDF, 1 PNG']","['Printable/Digital Daily Student Planner | Perfect for Adhd, Visual Learning Students - DIGITAL FILES ONLY', 'https://www.etsy.com/listing/958043838/printabledigital-daily-student-planner', 'Over 20 people have this in their cart']",20,"
                    The perfect daily student planner for any kid who is trying to keep their head on straight in a world where everything is spinning around them! When your primarily a visual human, even as a student, sometimes the unstructured nature of standard planners can leave you feeling aimless and unfocused. This planner is specifically designed to guide kids along a natural progression of productivity, teaching prioritization of task assignment using visual cues and line weight, and work well for humans who think outside the box! Additionally addressing social emotional needs, goal setting, and redundancy in planning is a great pre-adult skill for middle grade learners. Ideal for students ages 8-16 but can EASILY be scaled up or down to suit students of different needs and abilities! ☆ WHAT’S INCLUDED?]• 1 x PDF in Letter Size (8.5 x 11"")• 1 x PDF in A4 Size• 1 x PDF in A6 Size• 1 x PDF in Two per sheet Half-Letter Size• 1 x Instructions FileNote: This is an instant download - there is no physical product. The files become available to download once the purchase is processed by Etsy.☆ HOW TO ORDER1. Add this listing to your cart.2. After you complete the payment you will see the link for downloading the file. It will be available in your account's purchase area.3. Download the zipped files.4. Unzip files to your desktop.5. Open using the PDF viewer of your choice.6. Fill out using the PDF viewer clicking on blue edit boxes or print it out - it can also be used in digital planner apps such as Goodnotes☆ HOW DO I FILL IT OUT?These PDF files contain text fields that are fillable using Adobe Reader (Free), Adobe Acrobat, or other PDF reader software.You may also annotate digitally using an iPad or Tablet.Alternatively, you may print them out and write on them physically.Note: Text and colors that are part of the design cannot be edited.☆ RETURNS & EXCHANGESDue to the digital nature of this item, it is unable to be returned, exchanged, or refunded. Please do not hesitate to reach out via Etsy message. I am always open to questions, comments, and suggestions.☆ IMPORTANT INFORMATIONAll the files included in this download are original and copyright to Imperfect Inspiration Designs. They are for personal use only and cannot be resold, remade, copied, or distributed under any circumstances. All designs created by Britney Brown.
                "
OldMarketCorner,10398,4.8261,697,41,6.95,-,Wedding Photo Booth Prop Signs and Decorations - Rustic Wood Fence Wedding Photobooth Printables - Over 50 Images - Printable Digital File,"['Digital download', 'Digital file type(s): 2 PDF, 1 JPG']","['Wedding Photo Booth Prop Signs and Decorations - Rustic Wood Fence Wedding Photobooth Printables - Over 50 Images - Printable Digital File', 'https://www.etsy.com/listing/522272710/wedding-photo-booth-prop-signs-and', 'Over 20 people have this in their cart']",20,"
                    Wedding Photo Booth Prop Signs and Decorations - Rustic Wood Fence Wedding Printables - Over 50 Images - Printable Wedding Photobooth PropsPLEASE NOTE: This is a digital product, NO physical product will be sent.*********************************************************************************Welcome to OldMarket Corner!This listing is for a DIGITAL COPY of the Wedding Photo Booth Prop Signs and DecorationsMake your wedding one to remember with these fun photo booth prop signs and decorations.  All you do is print them out on cardstock, cut them out, tape or glue long sticks to them and you are ready to go!You will receive over 50 Full Color images, done at 300 dpi. You will receive a 32 page PDF file. The pages are all formatted to print on 8.5"" x 11"" paper. All props on picture 2 are included with this listing.This collection includes images as shown.**BONUS**Now includes a 6 page PDF file with 9 blank props to write your own messages on.★★★For more Wedding Props and Printables, click the link!★★★https://www.etsy.com/shop/oldmarketcorner?section_id=21774077*********************************************************************************These files are available as an INSTANT DOWNLOAD. Once your purchase and payment has been processed, you will receive an email with a link to your digital files. The download link is automatically sent to the email address you have on file with Etsy. Please make sure it is correct. It will say: ""View your Files on Etsy"". Click on that link and you will be able to access your digital file. You can also access your digital items by logging into your Etsy account, click on ""You"" in the top right, choose ""Purchases and Reviews"" and then go to the corresponding order. Click on Download Files. Please contact me if you have any questions or problems concerning your order.PLEASE NOTE: This is a Digital Product! No physical item will be sent.*********************************************************************************TERMS OF USE:  For Personal Use Only. Permission is given to print the digital items as many times as you want for your own personal use. Please do not share these digital files with others. If someone else wants to use the props, please direct them to my shop. You MAY NOT redistribute these digital files in any format.Thanks for shopping!✿ FOLLOW ME ON FACEBOOK: https://www.facebook.com/oldmarketdesigns✿ FIND ME ON PINTEREST: http://www.pinterest.com/oldmarketcorner/✿ VISIT MY BLOG: www.oldmarketcorner.blogspot.dk/
                "
ParadigmArt,17756,4.9483,833,37,5.99,-,"Inhale Exhale Print, Printable Wall Art Print, Instant Download Printable Art, Printable Quote, Prints, Motivation Wall Decor, Yoga Print","['Digital download', 'Digital file type(s): 5 JPG']","['Inhale Exhale Print, Printable Wall Art Print, Instant Download Printable Art, Printable Quote, Prints, Motivation Wall Decor, Yoga Print', 'https://www.etsy.com/listing/294341913/inhale-exhale-print-printable-wall-art', '19 people have this in their cart']",19,"
                    **STOREWIDE PROMOTION** Get 5 prints for the price of 3! Simply checkout with 5 prints in your cart and a 40% discount will automatically be applied. Happy shopping and printing!!INSTANT DOWNLOADNO PHYSICAL PRINT INCLUDEDPrint razor sharp prints at your own convenience in sizes up to A2!Have a custom quote in mind?  Choose from a style that you like from my selection of custom templates here → http://etsy.me/2uqfqRFDo check out my shop http://paradigmart.etsy.com for more designs,With 1400+ different designs available for you to choose from to date, there's something for everyone!===Print out this modern wall artwork from your home computer or local print shop to style and decorate your home or office!Print includes: 5 JPG filesYour order will include 5 JPG with different sizes. You'll get every single file described below! Having these multiple files helps ensure that you can print the design at your home or local print shop, however you decide to print. Here are details of each file:1) X-Small JPEG: 4"" x 6"" - Prints on an 8.5"" x 11"" so you can trim your 4x6 out on your own.2) Small JPEG: 5"" x 7"" - Prints on an 8.5"" x 11"" so you can trim out a 5x73) Medium JPEG : 8"" x 10"" - Prints on an 8.5 x 11"" - no trimming needed4) Large JPEG: 11"" x 14"" - Prints on an 11"" x 17"" so you can trim down.5) Extra Large JPEG - This will work with most frame/standard picture sizes up to 18"" x 24""Each JPG is high-resolution (300 dots per inch), which will get you very clean, clear prints.===PLEASE NOTE: You will not receive a physical print in the mail when purchasing this listing - BUT when you receive the file to save on your computer, you can print it out as many times as you'd like! Make sure to purchase a frame that fits the size of your print!Please contact me if you have any questions, I'd be more than glad to help you :)
                "
