seller_text,store_sales_clean,store_rating,store_reviews_clean,listing_reviews_clean,listing_price_clean,listing_bestseller,listing_title,listing_highlights,url
hooraydays,276462,4.7655,22962,100,6.46,Bestseller,"Happy Birthday Rainbow Bunting, Party Decorations, Happy Birthday Rainbow Garland, Birthday Decorations, Rainbow & Gold Decoration",[],https://www.etsy.com/listing/861108254/happy-birthday-rainbow-bunting-party
LouMarksPhoto,388506,4.8278,16494,100,5.49,Bestseller,"Mobile LIGHTROOM Presets, Warm Blogger Presets, Golden Presets, Mobile Presets, Desktop Preset, Instagram Filters lightroom mobile presets","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/677456369/mobile-lightroom-presets-warm-blogger
LouMarksPhoto,388506,4.8278,16494,100,5.49,Bestseller,"GOLDEN Presets, Vintage Mobile Lightroom Presets Lightroom Desktop and Presets, instagram filter, blogger presets, Moody presets","['Digital download', 'Digital file type(s): 3 ZIP, 1 PDF']",https://www.etsy.com/listing/724395279/golden-presets-vintage-mobile-lightroom
LouMarksPhoto,388506,4.8278,16494,100,5.49,Bestseller,"15 Mobile Lightroom Presets, Lightroom Filters, iPhone Presets, Lightroom Mobile Presets Moody, Instagram Presets, Rich Mobile Dng Preset","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/710322312/15-mobile-lightroom-presets-lightroom
LouMarksPhoto,388507,4.8278,16494,100,4.49,Bestseller,"10 Mobile Lightroom Presets, Lightroom Filters, iPhone Presets, Lightroom Mobile Presets Home, Instagram Presets, Cozy Mobile Dng Preset","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/751482305/10-mobile-lightroom-presets-lightroom
LouMarksPhoto,388507,4.8278,16494,100,5.49,Bestseller,"10 Mobile LIGHTROOM Presets, Vibrant Blogger Preset, Desktop Presets Lightroom, Colorful Lightroom Preset, Bright Instagram filters","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/674334567/10-mobile-lightroom-presets-vibrant
LouMarksPhoto,388507,4.8278,16494,100,5.49,Bestseller,"10 Desktop & Mobile Lightroom Preset Bundle, MUTED TONES Mobile Presets, Instagram Preset, Warm Fall Preset, Autumn Lightroom Preset","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/707188655/10-desktop-mobile-lightroom-preset
LouMarksPhoto,388510,4.8278,16494,100,5.49,-,"10 Mobile Lightroom Presets COZY HOLIDAY for Desktop and Mobile Lightroom, Instagram Filter for bloggers, Winter Photo Presets","['Digital download', 'Digital file type(s): 3 ZIP, 2 PDF']",https://www.etsy.com/listing/796644327/10-mobile-lightroom-presets-cozy-holiday
EarlesFolly,109474,4.9265,11284,100,2.5,Bestseller,"Bachelorette Party Penis Confetti, Bachelorette Party Penis Favors Hens Penis Confetti Bachelorette Party Decorations Glitter Penis Confetti",['Handmade'],https://www.etsy.com/listing/656109447/bachelorette-party-penis-confetti
SewSweetParadise,197588,4.9322,11278,100,0.99,Bestseller,"Monogram SVG/PNG Alphabet, Fancy Monogram Alphabet, Digital Download for Cricut, Silhouette, Glowforge, 52 individual svg/png cut files","['Digital download', 'Digital file type(s): 2 ZIP']",https://www.etsy.com/listing/760213013/monogram-svgpng-alphabet-fancy-monogram
SewSweetParadise,197588,4.9322,11278,100,1.99,Bestseller,"Split Monogram SVG/PNG, Split Monogram Frame Alphabet, Digital Download for Cricut, Glowforge, Silhouette, 26 individual svg/png cut files","['Digital download', 'Digital file type(s): 2 ZIP']",https://www.etsy.com/listing/881084171/split-monogram-svgpng-split-monogram
