seller_text,store_sales_clean,store_rating,store_reviews_clean,listing_reviews_clean,listing_price_clean,listing_bestseller,listing_title,listing_highlights,url
honeyinked,146932,4.9883,24809,100,2.95,,"42 Credit Card Stickers, Credit Card Planner Stickers, Happy Planner Stickers,  Planner Stickers, Erin Condren Stickers",['Handmade'],https://www.etsy.com/listing/452353488/42-credit-card-stickers-credit-card
OhDoodleShop,7763,4.9331,2221,100,3.82,,Calendar Holiday Stickers | Planner Stickers | Calendar Holiday Icons,"['Handmade', 'Materials: High Quality Adhesive Paper, HD printing, Matte Sticker Paper, Glossy Sticker Paper\n\n\nRead the full description']",https://www.etsy.com/listing/252213327/calendar-holiday-stickers-planner
TherapyJournals,14666,4.8233,1023,100,7.5,Bestseller,"Depression Therapy Journal: Instant Printable Download, Anxiety, Mental Health, Cognitive Behavior, Self Esteem, Daily Food, Sleep Diary","['Digital download', 'Digital file type(s): 1 PDF']",https://www.etsy.com/listing/468213177/depression-therapy-journal-instant
ChasingPlannerPeace,15816,4.9098,3988,100,3.89,,"A5 2021 or 2022 Horizontal Week on Two pages printed planner inserts, WO2P, Week on 2 Pages, Kikki K inspired, dated planner Inserts/refills","['Handmade', 'Materials: 100gsm paper, ink\n\n\nRead the full description']",https://www.etsy.com/listing/456045990/a5-2021-or-2022-horizontal-week-on-two
PaperCalling,14070,4.9775,3379,100,5.75,Bestseller,Printed | POCKET PM Small size |***Double Sided***| Monthly Planner Inserts - Month on 2 Pages | Sunday to Saturday layout,"['Handmade', 'Materials: paper, ink\n\n\nRead the full description']",https://www.etsy.com/listing/399851639/printed-pocket-pm-small-size-double
MyPixiePrintables,5484,4.9714,570,100,16.0,Bestseller,"EDITABLE | ULTIMATE Bundle Planner Pack 45 Pgs | Disney World Trip Planner | Travel Info, Resort, Budget, Agendas + more! | Instant Download","['Digital download', 'Digital file type(s): 2 PDF']",https://www.etsy.com/listing/471403935/editable-ultimate-bundle-planner-pack-45
FavoriteStory,48276,4.9516,8503,100,24.5,,personalized 2021-2022 planner | custom planner 2021-2022 | weekly planner | academic planner | printed planner | agenda || Favorite Story,"['Handmade', 'Materials: 70lb warm white paper, gold twin loop binding, kraft chipboard, black elastic closure, matte laminated tabs\n\n\nRead the full description']",https://www.etsy.com/listing/257074790/personalized-2021-2022-planner-custom
posypaper,47713,4.9631,7372,100,21.0,,2021 planner weekly planner | 12 month calendar | add monthly tabs student planner | personalized agenda | navy blue pink watercolor floral,"['Handmade', 'Materials: personalized cover, 12 month planner, choose your start month, monthly calendar, weekly planner, directory, 2 notes pages between months, optional monthly laminated tabs, metal spiral binding, pocket, 70 lb paper, 6x9 inch pages, clear plastic protective cover\n\n\nRead the full description']",https://www.etsy.com/listing/490884351/2021-planner-weekly-planner-12-month
PlumPaperDesigns,252789,4.8423,36854,100,2.0,,To-Do List Pages Dispersed Throughout Months,['Handmade'],https://www.etsy.com/listing/222258811/to-do-list-pages-dispersed-throughout
NoniesCustomCreation,23011,4.9578,6210,100,7.5,,Planner Pen Holder - Planner Band - Planner Pens - Planner Bands- Planner Accessory - Planner Clips - Pen Holder - Planner Accessories,"['Handmade', 'Materials: elastic, felt, vinyl, thread\n\n\nRead the full description']",https://www.etsy.com/listing/265718402/planner-pen-holder-planner-band-planner
