sym,avg,std,pct95,pct99,avg+std,avg+2std,last100d,last_20d
XAUUSD,5.49,3.99,1.26,1.27,9.48,13.47,4.64,4.5
EURCHF,8.55,5.21,2.0,2.04,13.75,18.96,8.42,6.7
CADCHF,9.03,5.14,2.3,2.3,14.17,19.3,9.37,8.07
US500Index,10.0,7.79,1.74,1.77,17.79,25.58,8.69,5.97
NZDCHF,10.31,5.17,3.4,3.4,15.48,20.65,10.52,8.96
USDJPY,10.6,6.75,2.8,2.8,17.35,24.1,10.72,9.62
USDCHF,10.64,6.82,2.4,2.4,17.46,24.27,10.58,9.76
AUDCHF,10.77,5.39,3.4,3.4,16.16,21.54,10.58,8.32
EURGBP,11.03,7.57,2.4,2.4,18.6,26.17,9.1,8.14
AUDNZD,11.17,5.59,4.1,4.1,16.76,22.35,10.54,9.4
CADJPY,11.35,6.33,3.4,3.5,17.69,24.02,11.89,10.94
AUDCAD,12.46,6.24,4.2,4.2,18.7,24.95,11.71,10.24
NZDUSD,12.52,6.81,3.8,3.9,19.33,26.14,12.8,11.52
NZDJPY,12.59,6.43,4.2,4.3,19.02,25.45,12.95,11.81
NZDCAD,12.62,6.53,4.2,4.3,19.15,25.68,12.37,11.01
AUDJPY,13.29,7.1,4.3,4.3,20.39,27.5,13.11,10.95
AUDUSD,13.31,7.49,3.7,3.7,20.8,28.3,12.9,10.74
CHFJPY,13.59,7.48,4.0,4.0,21.07,28.55,13.48,12.61
EURUSD,13.72,8.92,3.2,3.2,22.65,31.57,12.2,11.39
EURJPY,14.25,8.23,4.2,4.2,22.48,30.71,13.27,12.57
USDCAD,15.5,9.18,3.8,3.9,24.68,33.86,14.95,13.61
EURCAD,17.04,9.78,4.4,4.5,26.81,36.59,15.61,13.77
GBPCHF,17.58,10.98,4.1,4.2,28.55,39.53,16.51,14.45
GBPUSD,20.7,13.43,4.9,4.9,34.13,47.55,18.3,16.39
GBPJPY,21.41,12.79,5.8,5.9,34.2,47.0,20.0,18.52
EURAUD,21.62,10.88,6.9,6.9,32.5,43.37,19.73,16.95
GBPCAD,23.89,15.01,5.8,5.8,38.9,53.92,20.78,18.34
EURNZD,24.24,11.78,8.3,8.4,36.02,47.79,23.2,21.48
GBPAUD,26.91,14.52,8.2,8.3,41.42,55.94,23.97,21.5
GBPNZD,30.43,16.16,9.6,9.6,46.59,62.75,28.36,26.58
USTECHIndex,46.19,36.76,7.64,7.68,82.95,119.71,43.87,29.42
BTCUSD,435.0,467.95,18.66,18.87,902.95,1370.9,731.0,546.52
